const_no,const_name,winner_name,winner_party,runner_name,runner_party,margin,status,const_name_cw,bjp_votes,tmc_votes,total_votes,winner_is_bjp,winner_is_tmc
143,DIAMOND HARBOUR,PANNA LAL HALDER,All India Trinamool Congress,DIPAK KUMAR HALDER,Bharatiya Janata Party,31266.0,Result Declared,DIAMOND HARBOUR,88054,119320,232238,False,True
7,DINHATA,AJAY RAY,Bharatiya Janata Party,UDAYAN GUHA,All India Trinamool Congress,17447.0,Result Declared,DINHATA,138255,120808,267925,True,False
184,DOMJUR,TAPAS MAITY,All India Trinamool Congress,GOBINDA HAZRA,Bharatiya Janata Party,42177.0,Result Declared,DOMJUR,91859,134036,254187,False,True
75,DOMKAL,MD. MOSTAFIJUR RAHAMAN,Communist Party of India (Marxist),HUMAYUN KABIR,All India Trinamool Congress,16296.0,Result Declared,DOMKAL,13180,91586,257790,False,False
284,DUBRAJPUR,ANUP KUMAR SAHA,Bharatiya Janata Party,NARESH CHANDRA BAURI,All India Trinamool Congress,27647.0,Result Declared,DUBRAJPUR,117437,89790,220193,True,False
114,DUM DUM,ARIJIT BAKSHI,Bharatiya Janata Party,BRATYABRATA BASU,All India Trinamool Congress,25273.0,Result Declared,DUM DUM,99181,73908,198098,True,False
110,DUM DUM UTTAR,SOURAV SIKDAR,Bharatiya Janata Party,CHANDRIMA BHATTACHARYA,All India Trinamool Congress,26404.0,Result Declared,DUM DUM UTTAR,103284,76880,223349,True,False
277,DURGAPUR PASCHIM,LAKSHMAN CHANDRA GHORUI,Bharatiya Janata Party,KABI DUTTA,All India Trinamool Congress,37598.0,Result Declared,DURGAPUR PASCHIM,114729,77131,216774,True,False
276,DURGAPUR PURBA,CHANDRA SEKHAR BANERJEE,Bharatiya Janata Party,PRADIP MAZUMDAR,All India Trinamool Congress,30934.0,Result Declared,DURGAPUR PURBA,108888,77954,214802,True,False
218,EGRA,ADHIKARI DIBYENDU,Bharatiya Janata Party,TARUN KUMAR MAITY,All India Trinamool Congress,25692.0,Result Declared,EGRA,142670,116978,269373,True,False
51,ENGLISH BAZAR,AMLAN BHADURI (BURO),Bharatiya Janata Party,ASIS KUNDU (PATA),All India Trinamool Congress,93784.0,Result Declared,ENGLISH BAZAR,154096,60312,234560,True,False
163,ENTALLY,SANDIPAN SAHA,All India Trinamool Congress,DR. PRIYANKA TIBREWAL,Bharatiya Janata Party,34006.0,Result Declared,ENTALLY,60421,94427,165207,False,True
13,FALAKATA,DIPAK BARMAN,Bharatiya Janata Party,SUBHASH CHANDRA ROY,All India Trinamool Congress,45999.0,Result Declared,FALAKATA,134370,88371,235953,True,False
55,FARAKKA,MOTAB SHAIKH,Indian National Congress,SUNIL CHOWDHURI,Bharatiya Janata Party,8193.0,Result Declared,FARAKKA,54857,47256,174841,False,False
97,GAIGHATA,SUBRATA THAKUR,Bharatiya Janata Party,NAROTTAM BISWAS,All India Trinamool Congress,47683.0,Result Declared,GAIGHATA,121322,73639,209201,True,False
274,GALSI,RAJU PATRA,Bharatiya Janata Party,ALOK KUMAR MAJHI,All India Trinamool Congress,10494.0,Result Declared,GALSI,110640,100146,232345,True,False
