seats_flipped,party_a_final,party_b_final,party_a_majority,party_b_majority,p_min_b,p_maj_b,turnout
0,206,81,True,False,0.5109639603015439,0.20926869900762074,0.8904220372935919
5,201,86,True,False,0.838056643406501,0.5372128798686111,0.6602172862048211
0,206,81,True,False,0.5159106400017108,0.27894893751566685,0.7025936473050269
10,196,91,True,False,0.8877421328243342,0.5061502621099724,0.8909443679798259
0,206,81,True,False,0.5194288436999367,0.297175860609777,0.8408901858519529
1,205,82,True,False,0.6799956289222676,0.4942637554403374,0.609386627700289
2,204,83,True,False,0.8133702608588821,0.41193604725397687,0.7708508144983515
0,206,81,True,False,0.6694568710451043,0.281782875282844,0.756185407758122
2,204,83,True,False,0.8743891021964979,0.43965370726260383,0.6519986025087381
2,204,83,True,False,0.7670547102666995,0.45817925979574725,0.741450181467309
